RA,Game,Ice_start,Ice_end,R1_ding,R1_lead_discuss,R1_leadreveal,R1_team_discuss,R1_teamreveal,R1_missionreact,R2_ding,R2_lead_discuss,R2_leadreveal,R2_team_discuss,R2_teamreveal,R2_missionreact,R2_evals,R3_ding,R3_lead_discuss,R3_leadreveal,R3_team_discuss,R3_teamreveal,R3_missionreact,R4_ding,R4_lead_discuss,R4_leadreveal,R4_team_discuss,R4_teamreveal,R4_missionreact,R4_evals,R5_ding,R5_lead_discuss,R5_leadreveal,R5_team_discuss,R5_teamreveal,R5_missionreact,R6_ding,R6_lead_discuss,R6_leadreveal,R6_team_discuss,R6_teamreveal,R6_missionreact,R6_evals,R7_ding,R7_lead_discuss,R7_leadreveal,R7_team_discuss,R7_teamreveal,R7_missionreact,R8_ding,R8_lead_discuss,R8_leadreveal,R8_team_discuss,R8_teamreveal,R8_missionreact,R8_evals,Game_end,Comments,Video_Link,,,,
Maddie,005AZ,0:18:14,0:21:27,0:38:09,0:38:24,0:40:09,0:40:34,0:41:46,0:42:48,0:43:10,0:43:26,0:45:06,0:47:50,0:48:49,0:49:23,0:51:14,0:53:33,0:53:50,0:55:10,0:55:37,0:56:52,0:57:12,0:58:28,0:58:46,1:00:13,1:00:23,1:01:36,1:01:58,1:04:25,1:07:30,1:07:49,1:08:52,1:09:12,1:11:02,1:11:32,,,,,,,,,,,,,,,,,,,,,1:11:59,,https://drive.google.com/drive/u/0/folders/0BwpOK1k_sv0QOGozWTBRQUlXaWs?ths=true,,,,
Maddie,006AZ,0:17:26,N/A,0:33:16,0:33:32,0:35:09,0:35:43,0:37:39,0:38:37,0:39:40,0:39:57,0:40:59,0:41:27,0:42:08,0:42:48,0:43:02,0:45:25,0:45:42,0:45:29,0:46:54,0:48:55,0:50:44,0:52:04,0:52:21,0:53:06,0:53:26,0:55:24,0:56:03,0:56:21,0:58:10,0:58:26,0:59:06,0:59:40,1:00:34,1:00:50,1:01:42,1:01:57,1:02:34,1:03:01,1:04:07,1:04:30,1:04:50,,,,,,,,,,,,,,1:06:37,"the ice survey was not taken directly after the ice breaker, public votes were taken before the private votes",https://drive.google.com/drive/folders/0BwpOK1k_sv0QOGozWTBRQUlXaWs,,,,
Maddie,009AZ,0:12:27,0:16:22,0:28:49,0:29:43,0:31:19,0:31:30,0:32:17,0:32:44,0:32:56,0:33:07,0:34:59,0:35:05,0:35:46,0:36:05,0:36:20,0:38:34,0:38:44,0:42:34,0:42:41,0:48:33,0:48:54,0:50:20,0:50:29,0:52:33,0:52:39,0:53:29,0:53:52,0:54:05,0:55:51,0:56:00,0:56:38,0:56:45,0:59:52,1:00:08,1:00:22,,1:06:56,1:07:16,1:07:33,1:07:55,1:09:20,1:11:02,1:11:22,1:13:09,1:13:16,1:13:54,1:14:19,,,,,,,,1:14:43,no explicit instruction for leader discuss in round 4 or round 6,https://drive.google.com/drive/folders/0BwpOK1k_sv0QOGozWTBRQUlXaWs,,,,
Maddie,012AZ,0:02:16,0:10:44,0:15:02,0:15:13,0:16:47,0:16:55,0:17:39,0:18:02,0:18:14,0:18:27,0:19:15,0:19:24,0:20:33,0:20:52,0:21:08,0:23:14,0:23:25,0:24:47,0:24:53,0:27:27,0:27:52,0:29:41,0:29:49,0:30:09 ,0:30:18,0:30:53,0:31:13,0:31:30,0:33:37,0:33:47,0:36:04,0:36:11,0:37:08,0:37:23,0:37:36,0:37:45,0:38:13,0:38:19,0:39:03,0:39:20,0:39:39,0:41:16,0:41:25,0:42:36,0:42:42,0:43:26,0:43:38,,,,,,,,0:43:53,"the ice survey was not taken directly after the ice breaker, round 4 ding played 2x and no official instruction to nominate so I recorded the first nomination and before the proctor telling who they were voting for (they discussed prior to instruction)",https://drive.google.com/drive/folders/0BwpOK1k_sv0QOGozWTBRQUlXaWs,,,,
Maddie,018AZ,0:09:28,0:13:59,0:29:09,0:29:24,0:30:44,0:31:00,0:31:59,0:32:44,0:33:42,0:33:56,0:34:56,0:35:11,0:36:16,0:36:43,0:38:16,0:41:54,0:42:08,0:43:26,0:43:41,0:44:44,0:45:03,0:46:01,0:46:15,0:47:18,0:47:27,0:48:27,0:48:52,0:49:32,0:51:37,0:51:51,0:54:33,0:54:48,0:55:34,0:55:52,0:56:35,0:56:48,0:57:59,0:58:08,0:58:38,0:59:10,,,,,,,,,,,,,,,0:59:58,no public vote in rounds 4 and 6 for the leader or for the team in rounds 5 and 6,https://drive.google.com/drive/folders/0BwpOK1k_sv0QOGozWTBRQUlXaWs,,,,
Maddie,017AZ,0:01:59,N/A,0:15:14,0:15:26,0:16:04,0:16:11,0:16:47,0:17:11,0:17:21,0:18:10,0:19:38,0:19:44,0:20:12,0:21:06,0:21:19,0:22:53,0:23:04,0:26:10,0:26:16,0:27:50,0:28:11,0:28:23,0:28:39,0:30:12,0:30:18,0:31:17,0:31:38,0:32:19,0:34:46,0:34:56,0:35:31,0:35:37,0:38:23,0:38:35,0:39:35,0:39:41,0:41:19,0:41:26,0:42:19,0:42:32,,,,,,,,,,,,,,,0:42:51,no rating after ice so I marked the beginning of his instructions and the survey after the practice,https://drive.google.com/drive/folders/0BwpOK1k_sv0QOGozWTBRQUlXaWs,,,,
Maddie,015AZ,0:04:07,0:07:28,0:21:14,0:21:30,0:22:41,0:23:15,0:24:55,0:26:03,0:27:05,0:27:20,0:28:35,0:28:54,0:29:52,0:30:18,0:30:59,0:33:26,0:33:42,0:36:06,0:36:24,0:37:26,0:37:50,0:39:14,0:39:30,0:40:09,0:40:30,0:41:31,0:41:54,0:43:10,0:44:54,0:45:07,0:46:11,0:46:26,0:47:08,0:47:25,0:48:27,0:48:43,0:49:23,0:49:33,0:50:36,0:50:49,0:51:31,,,,,,,,,,,,,,0:52:01,no public vote for the team in rounds 5 and 6,https://drive.google.com/drive/folders/1BMNpu9NwWkZmMZSUZOdQzNgAR-0snCC-,,,,
Maddie,014AZ,0:10:58,0:16:53,0:34:55,0:35:10,0:36:37,0:37:52,0:41:45,0:42:25,0:43:34,0:43:50,0:45:05,0:45:23,0:46:51,0:47:53,0:49:05,0:51:36,0:51:54,0:53:04,0:53:24,0:55:14,0:56:36,0:56:51,0:57:08,0:58:15,0:58:33,1:00:17,1:01:10,1:01:57,1:04:12,1:04:26,1:05:29,1:05:45,1:06:59,1:07:43,,,,,,,,,,,,,,,,,,,,,1:10:03,"technical difficulties with first team vote so they had to redo the leader vote too but everyone voted the same as before and there was no public vote the second time,",https://drive.google.com/drive/folders/1BMNpu9NwWkZmMZSUZOdQzNgAR-0snCC-,,,,
Maddie,011AZ,0:14:01,0:17:15,0:28:51,0:29:03,0:29:46,0:29:53,0:30:25,0:30:59,0:31:14,0:31:25,0:32:38,0:32:45,0:33:42,0:34:07,0:34:22,0:36:01,0:36:12,0:38:38,0:38:46,0:40:32,0:40:50,0:41:07,0:41:19,0:42:28,0:42:34,0:43:10,0:43:28,0:43:45,0:45:28,0:45:40,0:46:39,0:46:46,0:47:38,0:47:59,0:48:13,0:48:46,0:49:14,0:49:21,0:52:05,0:52:25,0:52:39,0:54:24,0:54:35,0:56:45,0:56:51,0:58:55,0:59:09,,,,,,,,0:59:15,,https://drive.google.com/drive/folders/0BwpOK1k_sv0QOGozWTBRQUlXaWs,,,,
Maddie,001USP,0:18:03,0:24:41,0:44:14,0:44:27,0:46:54,0:47:07,0:49:07,0:49:58,0:50:22,0:50:34,0:52:57,0:53:26,0:55:31,0:56:18,0:56:52,1:04:07,1:04:21,1:06:06,1:07:10,1:09:04,1:09:43,1:10:03,1:10:22,1:11:32,1:12:40,1:14:17,1:14:48,1:15:15,1:18:34,1:18:49,1:20:15,1:20:38,1:23:47,1:25:03,,,,,,,,,,,,,,,,,,,,,1:26:14,could not hear players,https://drive.google.com/drive/u/0/folders/1sCCrrkwu0i4rsuTniZqLlofXRN6EhRnE,,,,
